content,score,thumbsUpCount,reviewCreatedVersion,at,cleaned_content,tokens,tokens_no_stopwords,tokens_stemmed,final_content,tokens_final,final_content_v2,sentiment
"apk sebelumnya sudah bagus, kita bisa cek posisi kendaraan meskipun seringnya tidak bergerak, sekarang malah di hilangkan sama sekali. Seharusnya kalau bisa malah ditambahkan seperti maps saat kita dalam perjalanan, jadi tahu kita posisi dimana, pemberhentian selanjutnya dimana.",5,0,,2025-08-21 08:55:33,apk sebelumnya sudah bagus kita bisa cek posisi kendaraan meskipun seringnya tidak bergerak sekarang malah di hilangkan sama sekali seharusnya kalau bisa malah ditambahkan seperti maps saat kita dalam perjalanan jadi tahu kita posisi dimana pemberhentian selanjutnya dimana,"['apk', 'sebelumnya', 'sudah', 'bagus', 'kita', 'bisa', 'cek', 'posisi', 'kendaraan', 'meskipun', 'seringnya', 'tidak', 'bergerak', 'sekarang', 'malah', 'di', 'hilangkan', 'sama', 'sekali', 'seharusnya', 'kalau', 'bisa', 'malah', 'ditambahkan', 'seperti', 'maps', 'saat', 'kita', 'dalam', 'perjalanan', 'jadi', 'tahu', 'kita', 'posisi', 'dimana', 'pemberhentian', 'selanjutnya', 'dimana']","['apk', 'bagus', 'cek', 'posisi', 'kendaraan', 'bergerak', 'hilangkan', 'maps', 'perjalanan', 'posisi', 'dimana', 'pemberhentian', 'dimana']","['apk', 'bagus', 'cek', 'posisi', 'kendara', 'gerak', 'hilang', 'maps', 'jalan', 'posisi', 'mana', 'henti', 'mana']",apk bagus cek posisi kendara gerak hilang maps jalan posisi mana henti mana,"['apk', 'bagus', 'cek', 'posisi', 'kendara', 'gerak', 'hilang', 'maps', 'jalan', 'posisi', 'henti']",apk bagus cek posisi kendara gerak hilang maps jalan posisi henti,Positif
cukup efektif untuk pemesanan tiketnya,5,0,2.15.0,2025-08-21 00:17:33,cukup efektif untuk pemesanan tiketnya,"['cukup', 'efektif', 'untuk', 'pemesanan', 'tiketnya']","['efektif', 'pemesanan', 'tiketnya']","['efektif', 'mesan', 'tiket']",efektif mesan tiket,"['efektif', 'mesan', 'tiket']",efektif mesan tiket,Positif
Aplikasi Tidak Responsif,1,0,2.14.0,2025-08-20 18:38:58,aplikasi tidak responsif,"['aplikasi', 'tidak', 'responsif']","['aplikasi', 'responsif']","['aplikasi', 'responsif']",aplikasi responsif,"['aplikasi', 'responsif']",aplikasi responsif,Negatif
"bus paling nyaman mudik dari pemalang lampung bolak balik terus rutin, mantap sangat rekomendasi, restauran nyaman dan bersih terjamin..",5,0,2.15.0,2025-08-20 16:37:38,bus paling nyaman mudik dari pemalang lampung bolak balik terus rutin mantap sangat rekomendasi restauran nyaman dan bersih terjamin,"['bus', 'paling', 'nyaman', 'mudik', 'dari', 'pemalang', 'lampung', 'bolak', 'balik', 'terus', 'rutin', 'mantap', 'sangat', 'rekomendasi', 'restauran', 'nyaman', 'dan', 'bersih', 'terjamin']","['bus', 'nyaman', 'mudik', 'pemalang', 'lampung', 'bolak', 'rutin', 'mantap', 'rekomendasi', 'restauran', 'nyaman', 'bersih', 'terjamin']","['bus', 'nyaman', 'mudik', 'malang', 'lampung', 'bolak', 'rutin', 'mantap', 'rekomendasi', 'restauran', 'nyaman', 'bersih', 'jamin']",bus nyaman mudik malang lampung bolak rutin mantap rekomendasi restauran nyaman bersih jamin,"['bus', 'nyaman', 'mudik', 'malang', 'lampung', 'bolak', 'rutin', 'mantap', 'rekomendasi', 'restauran', 'nyaman', 'bersih', 'jamin']",bus nyaman mudik malang lampung bolak rutin mantap rekomendasi restauran nyaman bersih jamin,Positif
semenjak update aplikasi sama sekali tidak berfungsi tolong diperbaiki lebih baik lagi,1,2,2.14.0,2025-08-19 18:31:13,semenjak update aplikasi sama sekali tidak berfungsi tolong diperbaiki lebih baik lagi,"['semenjak', 'update', 'aplikasi', 'sama', 'sekali', 'tidak', 'berfungsi', 'tolong', 'diperbaiki', 'lebih', 'baik', 'lagi']","['semenjak', 'update', 'aplikasi', 'berfungsi', 'tolong', 'diperbaiki']","['semenjak', 'update', 'aplikasi', 'fungsi', 'tolong', 'baik']",semenjak update aplikasi fungsi tolong baik,"['semenjak', 'update', 'aplikasi', 'fungsi', 'tolong']",semenjak update aplikasi fungsi tolong,Negatif
pelayananya puas,5,0,2.14.0,2025-08-19 16:44:27,pelayananya puas,"['pelayananya', 'puas']","['pelayananya', 'puas']","['pelayananya', 'puas']",pelayananya puas,"['pelayananya', 'puas']",pelayananya puas,Positif
tidak bisa liat armada tujuan...,1,0,,2025-08-19 10:02:07,tidak bisa liat armada tujuan,"['tidak', 'bisa', 'liat', 'armada', 'tujuan']","['liat', 'armada', 'tujuan']","['liat', 'armada', 'tuju']",liat armada tuju,"['liat', 'armada']",liat armada,Negatif
udah pake sinyal wifi tetep aja gak bisa masuk login coba lah diperbaiki lagi,1,6,2.14.0,2025-08-17 15:56:37,udah pake sinyal wifi tetep aja gak bisa masuk login coba lah diperbaiki lagi,"['udah', 'pake', 'sinyal', 'wifi', 'tetep', 'aja', 'gak', 'bisa', 'masuk', 'login', 'coba', 'lah', 'diperbaiki', 'lagi']","['udah', 'pake', 'sinyal', 'wifi', 'tetep', 'aja', 'gak', 'login', 'coba', 'diperbaiki']","['udah', 'pake', 'sinyal', 'wifi', 'tetep', 'aja', 'gak', 'login', 'coba', 'baik']",udah pake sinyal wifi tetep aja gak login coba baik,"['pake', 'sinyal', 'wifi', 'tetep', 'login']",pake sinyal wifi tetep login,Negatif
sangat membantu......,4,0,2.13.0,2025-08-17 13:36:47,sangat membantu,"['sangat', 'membantu']",['membantu'],['bantu'],bantu,['bantu'],bantu,Positif
"armadanya kok beda2 ya interiornya, trus trakhir naik yg Doble Decker kok kamar mandi nya kuotor parah.",1,0,2.13.0,2025-08-16 01:43:29,armadanya kok beda ya interiornya trus trakhir naik yg doble decker kok kamar mandi nya kuotor parah,"['armadanya', 'kok', 'beda', 'ya', 'interiornya', 'trus', 'trakhir', 'naik', 'yg', 'doble', 'decker', 'kok', 'kamar', 'mandi', 'nya', 'kuotor', 'parah']","['armadanya', 'beda', 'interiornya', 'trus', 'trakhir', 'yg', 'doble', 'decker', 'kamar', 'mandi', 'kuotor', 'parah']","['armada', 'beda', 'interior', 'trus', 'trakhir', 'yg', 'doble', 'decker', 'kamar', 'mandi', 'kuotor', 'parah']",armada beda interior trus trakhir yg doble decker kamar mandi kuotor parah,"['armada', 'beda', 'interior', 'trus', 'trakhir', 'doble', 'decker', 'kamar', 'mandi', 'kuotor', 'parah']",armada beda interior trus trakhir doble decker kamar mandi kuotor parah,Negatif
Informasinya lengkap,5,0,2.13.0,2025-08-15 19:12:24,informasinya lengkap,"['informasinya', 'lengkap']","['informasinya', 'lengkap']","['informasi', 'lengkap']",informasi lengkap,"['informasi', 'lengkap']",informasi lengkap,Positif
fitur lacak lokasi bus sudah tidak ada,3,0,2.14.0,2025-08-15 18:31:47,fitur lacak lokasi bus sudah tidak ada,"['fitur', 'lacak', 'lokasi', 'bus', 'sudah', 'tidak', 'ada']","['fitur', 'lacak', 'lokasi', 'bus']","['fitur', 'lacak', 'lokasi', 'bus']",fitur lacak lokasi bus,"['fitur', 'lacak', 'lokasi', 'bus']",fitur lacak lokasi bus,Netral
saya klik daftat malah ga ada apa2 udah masukin nomor dan email.. ga ada respon di apk nya gitu2 aja coba di perbaiki lah..,2,12,2.14.0,2025-08-15 17:52:24,saya klik daftat malah ga ada apa udah masukin nomor dan email ga ada respon di apk nya gitu aja coba di perbaiki lah,"['saya', 'klik', 'daftat', 'malah', 'ga', 'ada', 'apa', 'udah', 'masukin', 'nomor', 'dan', 'email', 'ga', 'ada', 'respon', 'di', 'apk', 'nya', 'gitu', 'aja', 'coba', 'di', 'perbaiki', 'lah']","['klik', 'daftat', 'ga', 'udah', 'masukin', 'nomor', 'email', 'ga', 'respon', 'apk', 'gitu', 'aja', 'coba', 'perbaiki']","['klik', 'daftat', 'ga', 'udah', 'masukin', 'nomor', 'email', 'ga', 'respon', 'apk', 'gitu', 'aja', 'coba', 'baik']",klik daftat ga udah masukin nomor email ga respon apk gitu aja coba baik,"['klik', 'daftat', 'masukin', 'nomor', 'email', 'respon', 'apk', 'gitu']",klik daftat masukin nomor email respon apk gitu,Negatif
armadanya suka molor,2,0,2.14.0,2025-08-15 00:13:40,armadanya suka molor,"['armadanya', 'suka', 'molor']","['armadanya', 'suka', 'molor']","['armada', 'suka', 'molor']",armada suka molor,"['armada', 'suka', 'molor']",armada suka molor,Negatif
terimakasih selalu mengantarku Jember - Tegal,5,0,2.13.0,2025-08-13 11:56:35,terimakasih selalu mengantarku jember tegal,"['terimakasih', 'selalu', 'mengantarku', 'jember', 'tegal']","['terimakasih', 'mengantarku', 'jember', 'tegal']","['terimakasih', 'antar', 'jember', 'tegal']",terimakasih antar jember tegal,"['terimakasih', 'jember', 'tegal']",terimakasih jember tegal,Positif
titik tujuan nya tidak ada yg sesuai masa saya pilih tujuan jogja nggak muncul sama sekali,1,0,2.14.0,2025-08-13 11:37:32,titik tujuan nya tidak ada yg sesuai masa saya pilih tujuan jogja nggak muncul sama sekali,"['titik', 'tujuan', 'nya', 'tidak', 'ada', 'yg', 'sesuai', 'masa', 'saya', 'pilih', 'tujuan', 'jogja', 'nggak', 'muncul', 'sama', 'sekali']","['titik', 'tujuan', 'yg', 'sesuai', 'pilih', 'tujuan', 'jogja', 'nggak', 'muncul']","['titik', 'tuju', 'yg', 'sesuai', 'pilih', 'tuju', 'jogja', 'nggak', 'muncul']",titik tuju yg sesuai pilih tuju jogja nggak muncul,"['titik', 'sesuai', 'pilih', 'jogja', 'nggak', 'muncul']",titik sesuai pilih jogja nggak muncul,Negatif
kok jadi lemot ya? UI jg pas milik kota jadi mentok bgt diatas ketutupan notch,3,0,2.13.0,2025-08-11 16:02:08,kok jadi lemot ya ui jg pas milik kota jadi mentok bgt diatas ketutupan notch,"['kok', 'jadi', 'lemot', 'ya', 'ui', 'jg', 'pas', 'milik', 'kota', 'jadi', 'mentok', 'bgt', 'diatas', 'ketutupan', 'notch']","['lemot', 'ui', 'jg', 'pas', 'milik', 'kota', 'mentok', 'bgt', 'diatas', 'ketutupan', 'notch']","['lot', 'ui', 'jg', 'pas', 'milik', 'kota', 'mentok', 'bgt', 'atas', 'tutup', 'notch']",lot ui jg pas milik kota mentok bgt atas tutup notch,"['lot', 'ui', 'milik', 'kota', 'mentok', 'tutup', 'notch']",lot ui milik kota mentok tutup notch,Netral
saya buka pesen tiket buat tgl 4 September kok di penyimpanan ngga bisa,5,1,2.13.0,2025-08-10 19:44:25,saya buka pesen tiket buat tgl september kok di penyimpanan ngga bisa,"['saya', 'buka', 'pesen', 'tiket', 'buat', 'tgl', 'september', 'kok', 'di', 'penyimpanan', 'ngga', 'bisa']","['buka', 'pesen', 'tiket', 'tgl', 'september', 'penyimpanan', 'ngga']","['buka', 'sen', 'tiket', 'tgl', 'september', 'simpan', 'ngga']",buka sen tiket tgl september simpan ngga,"['buka', 'sen', 'tiket', 'tgl', 'september', 'simpan', 'ngga']",buka sen tiket tgl september simpan ngga,Positif
sangat jelek tidak bisa masuk akun sudah benar juga ttp tidak bisa masuk,1,0,,2025-08-07 23:05:40,sangat jelek tidak bisa masuk akun sudah benar juga ttp tidak bisa masuk,"['sangat', 'jelek', 'tidak', 'bisa', 'masuk', 'akun', 'sudah', 'benar', 'juga', 'ttp', 'tidak', 'bisa', 'masuk']","['jelek', 'akun', 'ttp']","['jelek', 'akun', 'ttp']",jelek akun ttp,"['jelek', 'akun', 'ttp']",jelek akun ttp,Negatif
"beli online , jadwal diubah suka suka ga dikasih tahu",1,0,2.13.0,2025-08-07 12:58:32,beli online jadwal diubah suka suka ga dikasih tahu,"['beli', 'online', 'jadwal', 'diubah', 'suka', 'suka', 'ga', 'dikasih', 'tahu']","['beli', 'online', 'jadwal', 'diubah', 'suka', 'suka', 'ga', 'dikasih']","['beli', 'online', 'jadwal', 'ubah', 'suka', 'suka', 'ga', 'kasih']",beli online jadwal ubah suka suka ga kasih,"['beli', 'online', 'jadwal', 'ubah', 'suka', 'suka']",beli online jadwal ubah suka suka,Negatif
apk tdk berguna,1,0,2.13.0,2025-08-06 21:41:24,apk tdk berguna,"['apk', 'tdk', 'berguna']","['apk', 'tdk', 'berguna']","['apk', 'tdk', 'guna']",apk tdk guna,['apk'],apk,Negatif
"Pembayaran via va shopeepay malah tau tau kebuka shopee nya, padahal belom isi saldo",1,0,,2025-07-30 15:58:30,pembayaran via va shopeepay malah tau tau kebuka shopee nya padahal belom isi saldo,"['pembayaran', 'via', 'va', 'shopeepay', 'malah', 'tau', 'tau', 'kebuka', 'shopee', 'nya', 'padahal', 'belom', 'isi', 'saldo']","['pembayaran', 'via', 'va', 'shopeepay', 'tau', 'tau', 'kebuka', 'shopee', 'belom', 'isi', 'saldo']","['bayar', 'via', 'va', 'shopeepay', 'tau', 'tau', 'buka', 'shopee', 'bom', 'isi', 'saldo']",bayar via va shopeepay tau tau buka shopee bom isi saldo,"['bayar', 'via', 'va', 'shopeepay', 'tau', 'tau', 'buka', 'shopee', 'bom', 'isi', 'saldo']",bayar via va shopeepay tau tau buka shopee bom isi saldo,Negatif
"mudah utk pesannya tampilan terlalu lebar, jadi susah mengetik rute",3,0,,2025-07-29 19:43:06,mudah utk pesannya tampilan terlalu lebar jadi susah mengetik rute,"['mudah', 'utk', 'pesannya', 'tampilan', 'terlalu', 'lebar', 'jadi', 'susah', 'mengetik', 'rute']","['mudah', 'utk', 'pesannya', 'tampilan', 'lebar', 'susah', 'mengetik', 'rute']","['mudah', 'utk', 'pesan', 'tampil', 'lebar', 'susah', 'etik', 'rute']",mudah utk pesan tampil lebar susah etik rute,"['mudah', 'pesan', 'tampil', 'lebar', 'susah', 'etik', 'rute']",mudah pesan tampil lebar susah etik rute,Netral
aplikasi kusut + error,1,0,2.13.0,2025-07-29 15:24:38,aplikasi kusut error,"['aplikasi', 'kusut', 'error']","['aplikasi', 'kusut', 'error']","['aplikasi', 'kusut', 'error']",aplikasi kusut error,"['aplikasi', 'kusut', 'error']",aplikasi kusut error,Negatif
👍,4,0,2.11.0,2025-07-27 22:52:11,,[],[],[],,[],,Positif
aplikasinya lemot,1,0,2.13.0,2025-07-27 18:28:14,aplikasinya lemot,"['aplikasinya', 'lemot']","['aplikasinya', 'lemot']","['aplikasi', 'lot']",aplikasi lot,"['aplikasi', 'lot']",aplikasi lot,Negatif
Aplikasi gak guna. dibuat login gak bisa cari jadwal gak bisa,1,2,2.13.0,2025-07-27 05:50:46,aplikasi gak guna dibuat login gak bisa cari jadwal gak bisa,"['aplikasi', 'gak', 'guna', 'dibuat', 'login', 'gak', 'bisa', 'cari', 'jadwal', 'gak', 'bisa']","['aplikasi', 'gak', 'login', 'gak', 'cari', 'jadwal', 'gak']","['aplikasi', 'gak', 'login', 'gak', 'cari', 'jadwal', 'gak']",aplikasi gak login gak cari jadwal gak,"['aplikasi', 'login', 'cari', 'jadwal']",aplikasi login cari jadwal,Negatif
Cepat proses ticketingnya. Ada pilihan rute Jkt kp.rambutan ke Malang pool pada pagi hari jam 7.00 dan tiba pada hari itu juga jam 22.00. Mantapf👍🏽,5,0,,2025-07-26 17:40:47,cepat proses ticketingnya ada pilihan rute jkt kprambutan ke malang pool pada pagi hari jam dan tiba pada hari itu juga jam mantapf,"['cepat', 'proses', 'ticketingnya', 'ada', 'pilihan', 'rute', 'jkt', 'kprambutan', 'ke', 'malang', 'pool', 'pada', 'pagi', 'hari', 'jam', 'dan', 'tiba', 'pada', 'hari', 'itu', 'juga', 'jam', 'mantapf']","['cepat', 'proses', 'ticketingnya', 'pilihan', 'rute', 'jkt', 'kprambutan', 'malang', 'pool', 'pagi', 'jam', 'jam', 'mantapf']","['cepat', 'proses', 'ticketingnya', 'pilih', 'rute', 'jkt', 'kprambutan', 'malang', 'pool', 'pagi', 'jam', 'jam', 'mantapf']",cepat proses ticketingnya pilih rute jkt kprambutan malang pool pagi jam jam mantapf,"['cepat', 'proses', 'ticketingnya', 'pilih', 'rute', 'jkt', 'kprambutan', 'malang', 'pool', 'pagi', 'jam', 'jam', 'mantapf']",cepat proses ticketingnya pilih rute jkt kprambutan malang pool pagi jam jam mantapf,Positif
"nyari tiket ke wonogiri dari jakarta selalu ga tersedia, aplikasi sepertinya tidak selalu update, saran untuk menejemen kalo memang belum sanggup ngelola aplikasi sendiri mendingan juga jualan di aplikasi tiket lainnya lebih memudahkan konsumen dalam memesan tiket, contoh traveloka atau redbus",1,0,,2025-07-26 09:07:02,nyari tiket ke wonogiri dari jakarta selalu ga tersedia aplikasi sepertinya tidak selalu update saran untuk menejemen kalo memang belum sanggup ngelola aplikasi sendiri mendingan juga jualan di aplikasi tiket lainnya lebih memudahkan konsumen dalam memesan tiket contoh traveloka atau redbus,"['nyari', 'tiket', 'ke', 'wonogiri', 'dari', 'jakarta', 'selalu', 'ga', 'tersedia', 'aplikasi', 'sepertinya', 'tidak', 'selalu', 'update', 'saran', 'untuk', 'menejemen', 'kalo', 'memang', 'belum', 'sanggup', 'ngelola', 'aplikasi', 'sendiri', 'mendingan', 'juga', 'jualan', 'di', 'aplikasi', 'tiket', 'lainnya', 'lebih', 'memudahkan', 'konsumen', 'dalam', 'memesan', 'tiket', 'contoh', 'traveloka', 'atau', 'redbus']","['nyari', 'tiket', 'wonogiri', 'jakarta', 'ga', 'tersedia', 'aplikasi', 'update', 'saran', 'menejemen', 'kalo', 'sanggup', 'ngelola', 'aplikasi', 'mendingan', 'jualan', 'aplikasi', 'tiket', 'memudahkan', 'konsumen', 'memesan', 'tiket', 'contoh', 'traveloka', 'redbus']","['nyari', 'tiket', 'wonogiri', 'jakarta', 'ga', 'sedia', 'aplikasi', 'update', 'saran', 'menejemen', 'kalo', 'sanggup', 'ngelola', 'aplikasi', 'mending', 'jual', 'aplikasi', 'tiket', 'mudah', 'konsumen', 'mes', 'tiket', 'contoh', 'traveloka', 'redbus']",nyari tiket wonogiri jakarta ga sedia aplikasi update saran menejemen kalo sanggup ngelola aplikasi mending jual aplikasi tiket mudah konsumen mes tiket contoh traveloka redbus,"['nyari', 'tiket', 'wonogiri', 'jakarta', 'sedia', 'aplikasi', 'update', 'saran', 'menejemen', 'sanggup', 'ngelola', 'aplikasi', 'mending', 'jual', 'aplikasi', 'tiket', 'mudah', 'konsumen', 'mes', 'tiket', 'contoh', 'traveloka', 'redbus']",nyari tiket wonogiri jakarta sedia aplikasi update saran menejemen sanggup ngelola aplikasi mending jual aplikasi tiket mudah konsumen mes tiket contoh traveloka redbus,Negatif
aplikasi tidak bisa di akses,1,0,2.13.0,2025-07-25 19:27:33,aplikasi tidak bisa di akses,"['aplikasi', 'tidak', 'bisa', 'di', 'akses']","['aplikasi', 'akses']","['aplikasi', 'akses']",aplikasi akses,"['aplikasi', 'akses']",aplikasi akses,Negatif
Sikap dan pelayanan agen menurut saya tidak baik kepada cust.,1,0,,2025-07-23 13:00:56,sikap dan pelayanan agen menurut saya tidak baik kepada cust,"['sikap', 'dan', 'pelayanan', 'agen', 'menurut', 'saya', 'tidak', 'baik', 'kepada', 'cust']","['sikap', 'pelayanan', 'agen', 'cust']","['sikap', 'layan', 'agen', 'cust']",sikap layan agen cust,"['sikap', 'layan', 'agen', 'cust']",sikap layan agen cust,Negatif
"kagak bisa masuk, aplikasinya seperti aplikasinya pemerintah sulit diakses dan banyak/sering banget gangguan.",1,7,2.13.0,2025-07-22 05:59:55,kagak bisa masuk aplikasinya seperti aplikasinya pemerintah sulit diakses dan banyaksering banget gangguan,"['kagak', 'bisa', 'masuk', 'aplikasinya', 'seperti', 'aplikasinya', 'pemerintah', 'sulit', 'diakses', 'dan', 'banyaksering', 'banget', 'gangguan']","['kagak', 'aplikasinya', 'aplikasinya', 'pemerintah', 'sulit', 'diakses', 'banyaksering', 'banget', 'gangguan']","['kagak', 'aplikasi', 'aplikasi', 'perintah', 'sulit', 'akses', 'banyaksering', 'banget', 'ganggu']",kagak aplikasi aplikasi perintah sulit akses banyaksering banget ganggu,"['kagak', 'aplikasi', 'aplikasi', 'perintah', 'sulit', 'akses', 'banyaksering', 'ganggu']",kagak aplikasi aplikasi perintah sulit akses banyaksering ganggu,Negatif
pesen tiket gak bs terus,1,0,,2025-07-21 13:23:21,pesen tiket gak bs terus,"['pesen', 'tiket', 'gak', 'bs', 'terus']","['pesen', 'tiket', 'gak', 'bs']","['sen', 'tiket', 'gak', 'bs']",sen tiket gak bs,"['sen', 'tiket']",sen tiket,Negatif
PO BANYAK MALING! MANAJEMENNYA GABISA PROFESIONAL!,1,0,2.13.0,2025-07-21 03:31:25,po banyak maling manajemennya gabisa profesional,"['po', 'banyak', 'maling', 'manajemennya', 'gabisa', 'profesional']","['po', 'maling', 'manajemennya', 'gabisa', 'profesional']","['po', 'maling', 'manajemen', 'gabisa', 'profesional']",po maling manajemen gabisa profesional,"['po', 'maling', 'manajemen', 'gabisa', 'profesional']",po maling manajemen gabisa profesional,Negatif
lumayan,2,0,,2025-07-20 22:06:05,lumayan,['lumayan'],['lumayan'],['lumayan'],lumayan,['lumayan'],lumayan,Negatif
"Aneh setelah di Upgrade, buat pesan tiket malah tidak bisa.... Sudah berkali kali dan sudah di uinstall juga masih tetap saja tidak bisa buat pesen tiket, tolong di perbaiki lagi",1,0,,2025-07-19 17:39:41,aneh setelah di upgrade buat pesan tiket malah tidak bisa sudah berkali kali dan sudah di uinstall juga masih tetap saja tidak bisa buat pesen tiket tolong di perbaiki lagi,"['aneh', 'setelah', 'di', 'upgrade', 'buat', 'pesan', 'tiket', 'malah', 'tidak', 'bisa', 'sudah', 'berkali', 'kali', 'dan', 'sudah', 'di', 'uinstall', 'juga', 'masih', 'tetap', 'saja', 'tidak', 'bisa', 'buat', 'pesen', 'tiket', 'tolong', 'di', 'perbaiki', 'lagi']","['aneh', 'upgrade', 'pesan', 'tiket', 'berkali', 'uinstall', 'pesen', 'tiket', 'tolong', 'perbaiki']","['aneh', 'upgrade', 'pesan', 'tiket', 'kali', 'uinstall', 'sen', 'tiket', 'tolong', 'baik']",aneh upgrade pesan tiket kali uinstall sen tiket tolong baik,"['aneh', 'upgrade', 'pesan', 'tiket', 'uinstall', 'sen', 'tiket', 'tolong']",aneh upgrade pesan tiket uinstall sen tiket tolong,Negatif
enggak rekomen,1,0,2.13.0,2025-07-19 15:08:13,enggak rekomen,"['enggak', 'rekomen']",['rekomen'],['rekomen'],rekomen,['rekomen'],rekomen,Negatif
